,Time,Alt,Bearing,Speed,VerticalAccuracy,Accuracy
0,1623670005124,134.52388384403227,0.0,0.0,3.0,30.809
1,1623670010164,134.51917183768143,105.19956,0.8032644,3.0,8.5
2,1623670012370,134.52247987185362,106.82737,1.4435356,3.0,7.5
3,1623670012396,134.52247987185362,106.82737,1.4435356,3.0,7.5
4,1623670017063,134.502086760465,23.095095,0.20238596,3.0,14.311
5,1623670022533,134.55674220855585,228.12321,0.7386881,3.0,14.427
6,1623670026154,134.54969407598233,354.25317,0.20855927,3.0,18.282
7,1623670026174,134.54969407598233,354.25317,0.20855927,3.0,18.282
8,1623670031046,134.75447018574698,1.4902849,0.5999907,3.0,19.819
9,1623670036568,134.75751439390473,28.875677,1.059276,3.0,18.706
10,1623670042084,134.90111920340976,41.92584,1.0591385,3.0,9.389
11,1623670047533,134.98576174948022,44.97241,1.2664832,3.0,17.845
12,1623670053024,134.99055154498137,43.80999,1.1791037,3.0,8.097
13,1623670058137,134.95557960547907,46.248814,1.1449807,3.0,5.368
14,1623670064118,134.4355278269577,39.032494,1.0787826,3.0,6.222
15,1623670069107,134.44666522359609,25.823803,0.87437415,3.0,7.378
16,1623670075060,134.24167703501533,20.06841,1.0327235,3.0,7.033
17,1623670080091,134.13728989043713,16.56239,0.9667959,3.0,7.473
18,1623670085642,134.08332520834287,16.493732,1.0804123,3.0,7.64
19,1623670091085,134.10354299875166,11.171279,1.2025994,3.0,7.221
20,1623670096130,134.07793255615405,3.7932224,1.2599401,3.0,6.937
21,1623670102044,134.02242139143223,359.9895,1.4138697,3.0,15.548
22,1623670107106,134.02738356552172,343.90125,1.4727547,3.0,21.112
23,1623670112824,133.98533329530005,331.93884,1.4154804,3.0,19.028
24,1623670118130,133.9998900394282,327.19537,1.4763181,3.0,5.915
25,1623670123662,134.04097179901893,317.30087,1.5368211,3.0,20.127
26,1623670129110,134.1018543983102,313.62692,1.4895897,3.0,21.667
27,1623670134529,134.01816565055833,317.98077,1.3409061,3.0,8.201
28,1623670140021,134.1311922522284,315.05,1.3911053,3.0,7.845
29,1623670145103,134.0411289187023,312.8512,1.4108968,3.0,21.614
30,1623670150108,134.14228815825865,317.10202,1.3814824,3.0,5.364
31,1623670155109,129.18518964732002,319.00583,1.2584116,84.87168,4.39
32,1623670160121,129.73819309847326,320.93253,1.228364,3.0,4.385
33,1623670165639,129.7705663469646,321.12207,1.3491751,3.0,10.295
34,1623670171139,130.59190172090194,318.5833,1.4034022,3.0,11.856
35,1623670176711,130.58465701069204,316.7502,1.3455803,3.0,19.843
36,1623670182125,131.0704196063284,318.22794,1.1958227,3.0,6.602
37,1623670188042,131.1102388878017,319.5143,1.2863867,3.0,4.789
38,1623670193408,131.11481841784305,314.74487,1.35881,3.0,13.964
39,1623670198841,131.0698342432858,319.5468,1.3886861,3.0,6.808
40,1623670204121,131.67350906004512,319.2669,1.2782934,3.0,12.852
41,1623670209628,131.64462772293018,318.83542,1.3311195,3.0,6.13
42,1623670215076,131.7954814908911,318.32678,1.2616692,3.0,6.35
43,1623670220846,131.79893397440563,321.17255,1.199861,3.0,6.983
44,1623670226702,131.7665364805179,13.148759,0.76421344,3.0,6.71
45,1623670232101,131.91859632852464,67.66461,0.6232754,3.0,7.479
46,1623670237528,131.75702966775407,0.44794726,0.3620267,3.0,9.071
47,1623670242964,131.7742878142108,351.13962,0.32027155,3.0,10.944
48,1623670248118,131.98160111756303,342.05685,0.27778983,3.0,11.247
49,1623670253560,132.11877039760049,322.35837,0.38744965,3.0,10.267
50,1623670258847,132.17234049788445,315.8465,0.742081,3.0,9.841
51,1623670264113,132.11722953251825,319.307,0.87397075,3.0,10.385
52,1623670269696,132.03977274351996,318.71045,1.0493301,3.0,9.998
53,1623670275072,131.968778571624,337.5585,1.0132047,3.0,6.192
54,1623670280551,132.05919048256771,10.575243,1.2146609,3.0,5.79
55,1623670285850,132.0842093689239,21.223131,1.2401463,3.0,7.673
56,1623670285875,132.0842093689239,21.223131,1.2401463,3.0,7.673
57,1623670288721,131.77526783328003,22.846436,1.2020702,3.0,8.867
58,1623670288741,131.77526783328003,22.846436,1.2020702,3.0,8.867
59,1623670293517,131.83475246129476,349.42404,0.73312235,3.0,11.918
60,1623670298905,134.372951183524,332.4072,1.1260813,3.0,9.039
61,1623670304675,134.29102481414907,329.96194,1.2787658,3.0,8.495
62,1623670309794,135.0140234912837,335.92795,1.0793711,3.0,7.448
63,1623670315088,135.02991278513488,338.18277,1.1589936,3.0,6.638
64,1623670320913,134.83834656947826,333.87692,1.1430302,3.0,6.167
65,1623670326031,134.93946389420276,331.49963,1.067704,3.0,8.051
66,1623670331674,134.5269542418782,335.0413,0.92508376,3.0,8.761
67,1623670337084,134.6564141735374,14.837707,0.7385486,3.0,8.379
68,1623670342792,134.5051503739717,32.844334,0.92624646,3.0,8.293
69,1623670348091,134.53726249746552,35.118183,0.44672403,3.0,7.351
70,1623670353132,134.0696912951971,40.590393,0.7088554,3.0,8.123
71,1623670358139,134.0004353906331,41.706833,1.016426,3.0,8.836
72,1623670363513,133.323813463115,45.103645,1.1335502,3.0,9.075
73,1623670368549,133.21091199314154,47.378143,1.0177842,3.0,8.396
74,1623670374037,133.21360260989053,45.448437,1.0395195,3.0,8.596
75,1623670379100,133.17944988407373,49.545437,1.1316186,3.0,5.688
76,1623670385010,133.3170523510407,50.29309,1.103947,3.0,5.69
77,1623670390100,133.3373917009692,38.486813,0.9584768,3.0,7.481
78,1623670395099,133.3538091975868,6.834461,0.8362432,3.0,7.815
79,1623670400654,133.41667206717898,11.580714,1.0056467,3.0,5.499
80,1623670405786,132.67461597409036,25.548788,1.1311423,3.0,5.95
81,1623670411084,132.6610738456426,37.481243,1.1800966,3.0,5.474
82,1623670416092,131.24033984512388,38.69237,1.1914457,3.0,5.633
83,1623670421093,131.16405984662458,28.980242,1.1785027,3.0,5.76
84,1623670426133,130.8944786400373,20.669092,0.92212313,3.0,5.441
85,1623670432069,130.95582533473194,27.14695,0.9454442,3.0,7.367
86,1623670437522,130.95197385791886,25.440643,0.94288707,3.0,8.797
87,1623670442961,130.9528288611789,2.3859324,1.6682365,3.0,7.152
88,1623670448615,131.13923110177484,311.60657,1.0652335,3.0,17.641
89,1623670454138,131.1810513221483,333.11758,0.68812793,3.0,5.934
90,1623670459837,130.89732875663125,346.14362,0.20121267,3.0,5.402
91,1623670465084,130.8483780090788,357.04733,0.6571852,3.0,5.308
