,Time,RSSI,Primary,Secondary,AdInterval,DeviceName,ManufacturerData,TxPower,AdvertiseFlag,DeviceId
0,1619173688028,-74,1,0,0, null, {76=[B@cf38eb5},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
1,1619173692453,-73,1,0,0, null, {76=[B@aab8016},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
2,1619173704274,-82,1,0,0, null, {76=[B@51c0569},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
3,1619173704548,-68,1,0,0, null, {76=[B@c12171c},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
4,1619173704817,-71,1,0,0, null, {76=[B@1730eab},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
5,1619173720599,-92,1,0,0, null, {76=[B@80c7120},8,26,04dde270c35bcb9a0197025e47859cf0f0217867aa851eb9cc5ff38f
6,1619173720673,-94,1,0,0, null, {76=[B@783a37f},12,26,aec115b55717dec3dfe1e6700fd1a0be50dda3ba9a2a8e22d69d5262
7,1619173720801,-88,1,0,0, null, {},-2147483648,26,fb3602065d261955818cbaf0e6226f3ff9b917fb99ff673438aa7617
8,1619173720811,-73,1,0,0, null, {76=[B@5e34438},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
9,1619173721090,-76,1,0,0, null, {76=[B@6248377},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
10,1619173724941,-76,1,0,0, null, {76=[B@42e6250},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
11,1619173725036,-88,1,0,0, null, {76=[B@d126a6f},12,26,aec115b55717dec3dfe1e6700fd1a0be50dda3ba9a2a8e22d69d5262
12,1619173725226,-91,1,0,0, null, {},-2147483648,26,fb3602065d261955818cbaf0e6226f3ff9b917fb99ff673438aa7617
13,1619173725290,-93,1,0,0, null, {76=[B@dcc2b68},8,26,04dde270c35bcb9a0197025e47859cf0f0217867aa851eb9cc5ff38f
14,1619173725471,-90,1,0,0, null, {76=[B@a073867},12,26,a472795762d7284801391e57e695b24701b526c428755c9d328d3087
15,1619173737076,-70,1,0,0, null, {76=[B@26de1fe},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
16,1619173737350,-85,1,0,0, null, {76=[B@9b17875},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
17,1619173737455,-91,1,0,0, null, {76=[B@7153e98},-2147483648,26,4eb169ff4909d49989602ca3128e831b92182db31faee980f08e7e53
18,1619173737491,-91,1,0,0, null, {76=[B@3390957},-2147483648,26,4eb169ff4909d49989602ca3128e831b92182db31faee980f08e7e53
19,1619173737530,-91,1,0,0, null, {76=[B@aea662},-2147483648,26,4eb169ff4909d49989602ca3128e831b92182db31faee980f08e7e53
20,1619173737566,-88,1,0,0, null, {76=[B@289c329},-2147483648,26,4eb169ff4909d49989602ca3128e831b92182db31faee980f08e7e53
21,1619173737571,-94,1,0,0, null, {},-2147483648,26,fb3602065d261955818cbaf0e6226f3ff9b917fb99ff673438aa7617
22,1619173737647,-74,1,0,0, null, {76=[B@72a9fba},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
23,1619173737650,-92,1,0,0, null, {76=[B@345ae61},-2147483648,26,4eb169ff4909d49989602ca3128e831b92182db31faee980f08e7e53
24,1619173753620,-79,1,0,0, null, {76=[B@8d6375e},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
25,1619173753641,-90,1,0,0, null, {76=[B@85555},24,26,4eb169ff4909d49989602ca3128e831b92182db31faee980f08e7e53
26,1619173754084,-100,1,0,0, null, {},-2147483648,26,fb3602065d261955818cbaf0e6226f3ff9b917fb99ff673438aa7617
27,1619173757757,-72,1,0,0, null, {76=[B@41a9ca4},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
28,1619173757793,-88,1,0,0, null, {76=[B@4f157d3},24,26,4eb169ff4909d49989602ca3128e831b92182db31faee980f08e7e53
29,1619173758038,-72,1,0,0, null, {76=[B@42d340e},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
30,1619173758066,-81,1,0,0, null, {76=[B@80a3dc5},24,26,4eb169ff4909d49989602ca3128e831b92182db31faee980f08e7e53
31,1619173769685,-85,1,0,0, null, {76=[B@9b076d4},12,26,cab04e04dc3e381a81cb53870e35b08a24b9383a2a3a45761f73cf41
32,1619173769888,-69,1,0,0, null, {76=[B@d8fdbc3},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
33,1619173770154,-76,1,0,0, null, {76=[B@154bcbe},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
34,1619173770423,-68,1,0,0, null, {76=[B@b4f2235},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
35,1619173784774,-77,1,0,0, null, {76=[B@8228522},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
36,1619173785054,-69,1,0,0, null, {76=[B@2cb40e9},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
37,1619173785330,-63,1,0,0, null, {76=[B@629289c},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
38,1619173785875,-63,1,0,0, null, {76=[B@1c6e2b},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
39,1619173786145,-66,1,0,0, null, {76=[B@704a046},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
40,1619173789996,-52,1,0,0, null, {76=[B@4de77a3},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
41,1619173790289,-53,1,0,0, null, {76=[B@2c1721e},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
42,1619173802144,-52,1,0,0, null, {76=[B@eaa5791},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
43,1619173802221,-92,1,0,0, null, {76=[B@f8f8d64},12,26,bd8635df8f64f5f165429186301b408d2129c00207923fbe882f1c81
44,1619173802692,-65,1,0,0, null, {76=[B@d2c8f93},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
45,1619173818421,-60,1,0,0, null, {76=[B@99594e8},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
46,1619173818693,-64,1,0,0, null, {76=[B@c68cfe7},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
47,1619173818972,-72,1,0,0, null, {76=[B@997ca32},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
48,1619173823100,-54,1,0,0, null, {76=[B@725d4df},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
49,1619173823125,-90,1,0,0, null, {76=[B@dfa6d8a},12,26,fce37b6deb34efdc34d85aa8c3000aab6d2b7ea4f878557dcdaef29e
50,1619173823128,-88,1,0,0, null, {},-2147483648,26,e321a90a62f079f0e4716d98c333462843348000dbe72d50aa0ee9ea
51,1619173830465,-94,1,0,0, null, {},-2147483648,26,e321a90a62f079f0e4716d98c333462843348000dbe72d50aa0ee9ea
52,1619173830549,-60,1,0,0, null, {76=[B@415373},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
53,1619173834407,-82,1,0,0, null, {76=[B@906d15c},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
54,1619173834683,-77,1,0,0, null, {76=[B@481bdeb},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
55,1619173834960,-83,1,0,0, null, {76=[B@9f70306},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
56,1619173855071,-82,1,0,0, null, {76=[B@9f328d5},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
57,1619173855350,-90,1,0,0, null, {76=[B@1ed7278},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
58,1619173855505,-88,1,0,0, null, {76=[B@88e36b7},12,26,ae9674ffd7d549b4699f4a55723d79a68208c385e0ff053c0bcdab52
59,1619173855549,-94,1,0,0, null, {76=[B@b1a3b42},8,26,0742c501c2601eb204a69549ee76949fe950882894787009edac93c5
60,1619173855619,-79,1,0,0, null, {76=[B@34e8589},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
61,1619173859487,-82,1,0,0, null, {76=[B@b17f09a},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
62,1619173876096,-75,1,0,0, null, {76=[B@30eeb43},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
63,1619173887649,-90,1,0,0, null, {76=[B@a1db44a},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
64,1619173891771,-76,1,0,0, null, {76=[B@1fd5c97},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
65,1619173892047,-79,1,0,0, null, {76=[B@4e082a2},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
66,1619173892201,-91,1,0,0, null, {76=[B@2c97c69},12,26,ae9674ffd7d549b4699f4a55723d79a68208c385e0ff053c0bcdab52
67,1619173892319,-76,1,0,0, null, {76=[B@61b3a1c},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
68,1619173892475,-90,1,0,0, null, {76=[B@69ccdab},12,26,ae9674ffd7d549b4699f4a55723d79a68208c385e0ff053c0bcdab52
69,1619173908300,-82,1,0,0, null, {76=[B@35c2420},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
70,1619173908574,-76,1,0,0, null, {76=[B@551327f},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
71,1619173908844,-84,1,0,0, null, {76=[B@2851faa},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
72,1619173920429,-74,1,0,0, null, {76=[B@bd1f4d},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
73,1619173920700,-74,1,0,0, null, {76=[B@850d550},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
74,1619173924792,-93,1,0,0, null, {76=[B@c3beb05},12,26,ae9674ffd7d549b4699f4a55723d79a68208c385e0ff053c0bcdab52
75,1619173924839,-72,1,0,0, null, {76=[B@f69fe68},7,26,54785d314323a9b9cb9f5bdb2eb9a752a2d0e9a895ba2236cec7f7a3
76,1619173941668,-90,1,0,0, null, {76=[B@734b0b9},8,26,0742c501c2601eb204a69549ee76949fe950882894787009edac93c5
