,Time,RSSI,Primary,Secondary,AdInterval,DeviceName,ManufacturerData,TxPower,AdvertiseFlag,DeviceId
0,1634469751967,-52,1,0,0, , {3=[B@4c5bd9b},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
1,1634469751985,-59,1,0,0, null, {76=[B@2c00a76},12,26,3663e5aff8f1d398dac5a4acaa1d3cd6ace6031df4ea6a0d5d36c02a
2,1634469751998,-53,1,0,0, null, {},-2147483648,-1,c1509f0fb50f79cb1dfb595df15bc5be29850ca0628254596f322eb3
3,1634469752020,-49,1,0,0, null, {19456=[B@e944513},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
4,1634469752046,-37,1,0,0, , {3=[B@2d9f24e},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
5,1634469752067,-91,1,0,0, null, {76=[B@923c105},12,26,2ec3054b6c61d061207bb23c4f83447e3c64fba990aa116b49062e35
6,1634469755359,-79,1,0,0, null, {19456=[B@49dfd26},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
7,1634469755368,-47,1,0,0, null, {76=[B@c2e0bbd},-2147483648,-1,71aed0332fd2e764bfd28f0cfceec1d3088b0730b9d5b5b856d7811f
8,1634469755379,-90,1,0,0, null, {76=[B@f7a4080},26,26,824e36cf5eb1a844aa6fd96756ade3dc7542e4957adab1e5ae7d5cce
9,1634469755382,-88,1,0,0, null, {76=[B@e51c25f},-2147483648,-1,a95f50d69ef325cb10ce56ea6ae16ae5a35d2804c6e7e3ff931435d1
10,1634469755395,-57,1,0,0, , {3=[B@9f3590a},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
11,1634469755405,-87,1,0,0, null, {76=[B@f5773f1},12,26,07b24618ed7dbe9b830fd1ee8854303801453eb071910078fb80e41d
12,1634469755415,-88,1,0,0, null, {},-2147483648,26,5b51c1c13cbb836d4be80e0f6cc7f82022978f01e0077fd7ad2b2060
13,1634469755436,-93,1,0,0, null, {76=[B@3adff62},24,26,2d2c56b4eaeb4b3018f18a79e38e72fb638160fcf59ac88456812284
14,1634469755458,-88,1,0,0, null, {19456=[B@b6fb029},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
15,1634469755477,-88,1,0,0, null, {},-2147483648,26,175176219a360e492525b8c01f45265d5f2e0669b3ef786d4a1eea25
16,1634469755481,-60,1,0,0, , {3=[B@d9c18ba},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
17,1634469755505,-86,1,0,0, null, {76=[B@b5c3b61},12,26,912f47c41ec390994bc6f6db9d34aa1566f081ea68a39d17eeae6f22
18,1634469755524,-56,1,0,0, null, {76=[B@9325f74},12,26,3663e5aff8f1d398dac5a4acaa1d3cd6ace6031df4ea6a0d5d36c02a
19,1634469755534,-93,1,0,0, null, {117=[B@15ed4e3},-2147483648,-1,09fe0c3d8658ac4bb5e04fd575e8ba909eae5a5c87c3edb11ad0ebea
20,1634469755547,-88,1,0,0, null, {},-2147483648,26,94ac05976804c174d7cdb78d84e33299c41a55f9f05c05c8bcd01c41
21,1634469755580,-87,1,0,0, null, {224=[B@e6290c},-2147483648,-1,2573220a84d6d397095aa04f80807be1ab255f5911fe2f6821b9d9bc
22,1634469755599,-88,1,0,0, null, {76=[B@abffd5b},12,26,2ec3054b6c61d061207bb23c4f83447e3c64fba990aa116b49062e35
23,1634469755603,-58,1,0,0, null, {76=[B@4401d36},12,26,c3797c689a199b3345458be817c9bb55349e84f7338616125280e46f
24,1634469755647,-65,1,0,0, , {3=[B@12a770d},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
25,1634469755666,-60,1,0,0, null, {76=[B@ad0e010},12,26,30dfced00cdc85a522b0084a04c24662ca3b622ff1091c1673d68ba9
26,1634469755670,-82,1,0,0, null, {19456=[B@90e532f},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
27,1634469755709,-83,1,0,0, null, {76=[B@12e7c1a},24,26,2d2c56b4eaeb4b3018f18a79e38e72fb638160fcf59ac88456812284
28,1634469755728,-60,1,0,0, , {3=[B@8b6fe41},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
29,1634469755762,-81,1,0,0, null, {},-2147483648,-1,e565afa222b04fb194c59430b1c44bb5965c12ac42bb9e934f707464
30,1634469755768,-88,1,0,0, null, {},-2147483648,26,7aa9007c0bbc2cd291a71191534fd17cd638c003c4b24f581e55342b
31,1634469755770,-50,1,0,0, null, {76=[B@14c3479},7,26,8a009e6548a34b7216408545c05ab43ad6e6118577e2a594e2567b5f
32,1634469755774,-80,1,0,0, null, {76=[B@7831d6c},12,26,912f47c41ec390994bc6f6db9d34aa1566f081ea68a39d17eeae6f22
33,1634469755778,-79,1,0,0, null, {19456=[B@eae1fca},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
34,1634469755795,-79,1,0,0, null, {101=[B@d1af9b1},-2147483648,6,73e43c8aaf8411460681545b12dc0c38f313889ad6024efc354e1c4d
35,1634469755798,-82,1,0,0, null, {76=[B@5e1ae04},12,26,4c854a578f22233df032fb1c03b06cb461c6847dc27aa513f855d3b9
36,1634469755813,-57,1,0,0, , {3=[B@35320b3},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
37,1634469755818,-95,1,0,0, null, {},-2147483648,26,94ac05976804c174d7cdb78d84e33299c41a55f9f05c05c8bcd01c41
38,1634469755825,-88,1,0,0, null, {76=[B@b3eb99c},12,26,3e8c9df4f2c643ebfa5b97968df1415b8d59c813d09d2c657cec08ed
39,1634469755835,-82,1,0,0, null, {224=[B@bd7f32b},-2147483648,-1,2573220a84d6d397095aa04f80807be1ab255f5911fe2f6821b9d9bc
40,1634469755854,-53,1,0,0, null, {},-2147483648,-1,c1509f0fb50f79cb1dfb595df15bc5be29850ca0628254596f322eb3
41,1634469755876,-82,1,0,0, null, {76=[B@38ea034},12,26,2ec3054b6c61d061207bb23c4f83447e3c64fba990aa116b49062e35
42,1634469755879,-54,1,0,0, null, {76=[B@d8f8ba0},12,26,c3797c689a199b3345458be817c9bb55349e84f7338616125280e46f
43,1634469755882,-77,1,0,0, null, {19456=[B@8fa9b1e},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
44,1634469755893,-55,1,0,0, , {3=[B@7c3dc15},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
45,1634469755899,-68,1,0,0, null, {101=[B@5f2eb8},-2147483648,6,73e43c8aaf8411460681545b12dc0c38f313889ad6024efc354e1c4d
46,1634469755941,-55,1,0,0, null, {76=[B@774ff7},12,26,30dfced00cdc85a522b0084a04c24662ca3b622ff1091c1673d68ba9
47,1634469755987,-56,1,0,0, , {3=[B@5b41582},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
48,1634469755992,-93,1,0,0, null, {117=[B@f9cd4c9},-2147483648,-1,09fe0c3d8658ac4bb5e04fd575e8ba909eae5a5c87c3edb11ad0ebea
49,1634469756005,-68,1,0,0, null, {101=[B@34f35fc},-2147483648,6,73e43c8aaf8411460681545b12dc0c38f313889ad6024efc354e1c4d
50,1634469756034,-92,1,0,0, null, {},-2147483648,-1,e565afa222b04fb194c59430b1c44bb5965c12ac42bb9e934f707464
51,1634469756044,-57,1,0,0, null, {76=[B@6355401},7,26,8a009e6548a34b7216408545c05ab43ad6e6118577e2a594e2567b5f
52,1634469756048,-91,1,0,0, null, {},-2147483648,26,7aa9007c0bbc2cd291a71191534fd17cd638c003c4b24f581e55342b
53,1634469756067,-60,1,0,0, null, {76=[B@7a0e332},12,26,3663e5aff8f1d398dac5a4acaa1d3cd6ace6031df4ea6a0d5d36c02a
54,1634469756093,-76,1,0,0, null, {19456=[B@2078239},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
55,1634469756096,-87,1,0,0, null, {224=[B@fca162c},-2147483648,-1,2573220a84d6d397095aa04f80807be1ab255f5911fe2f6821b9d9bc
56,1634469756115,-70,1,0,0, null, {101=[B@caa24fb},-2147483648,6,73e43c8aaf8411460681545b12dc0c38f313889ad6024efc354e1c4d
57,1634469756127,-59,1,0,0, null, {},-2147483648,-1,c1509f0fb50f79cb1dfb595df15bc5be29850ca0628254596f322eb3
58,1634469756143,-85,1,0,0, null, {76=[B@776fec4},12,26,2ec3054b6c61d061207bb23c4f83447e3c64fba990aa116b49062e35
59,1634469756150,-54,1,0,0, null, {76=[B@6f23873},12,26,c3797c689a199b3345458be817c9bb55349e84f7338616125280e46f
60,1634469759655,-81,1,0,0, null, {19456=[B@695625c},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
61,1634469759662,-47,1,0,0, , {3=[B@9ca42eb},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
62,1634469759669,-88,1,0,0, null, {76=[B@8e90c06},12,26,2ec3054b6c61d061207bb23c4f83447e3c64fba990aa116b49062e35
63,1634469759680,-50,1,0,0, null, {76=[B@78c101d},12,26,c3797c689a199b3345458be817c9bb55349e84f7338616125280e46f
64,1634469759690,-87,1,0,0, null, {224=[B@709d860},-2147483648,-1,2573220a84d6d397095aa04f80807be1ab255f5911fe2f6821b9d9bc
65,1634469759701,-95,1,0,0, null, {76=[B@2c0a3bf},24,26,45844e9b2f0acd3052660b3e0d6275fd9ef4275261d6feba38f3680b
66,1634469759703,-50,1,0,0, null, {},-2147483648,-1,c1509f0fb50f79cb1dfb595df15bc5be29850ca0628254596f322eb3
67,1634469759706,-91,1,0,0, null, {117=[B@3be5378},-2147483648,-1,09fe0c3d8658ac4bb5e04fd575e8ba909eae5a5c87c3edb11ad0ebea
68,1634469759713,-61,1,0,0, null, {76=[B@3794bb7},12,26,3663e5aff8f1d398dac5a4acaa1d3cd6ace6031df4ea6a0d5d36c02a
69,1634469759742,-48,1,0,0, , {3=[B@7bc1442},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
70,1634469759744,-94,1,0,0, null, {},-2147483648,26,5b51c1c13cbb836d4be80e0f6cc7f82022978f01e0077fd7ad2b2060
71,1634469759746,-48,1,0,0, null, {76=[B@eaffaaf},12,26,30dfced00cdc85a522b0084a04c24662ca3b622ff1091c1673d68ba9
72,1634469759769,-92,1,0,0, null, {76=[B@cfbe99a},26,26,824e36cf5eb1a844aa6fd96756ade3dc7542e4957adab1e5ae7d5cce
73,1634469759815,-88,1,0,0, null, {},-2147483648,26,175176219a360e492525b8c01f45265d5f2e0669b3ef786d4a1eea25
74,1634469759831,-47,1,0,0, , {3=[B@73e90a7},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
75,1634469759861,-92,1,0,0, null, {117=[B@a0611f2},-2147483648,-1,09fe0c3d8658ac4bb5e04fd575e8ba909eae5a5c87c3edb11ad0ebea
76,1634469759866,-82,1,0,0, null, {19456=[B@5a68ff9},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
77,1634469759869,-88,1,0,0, null, {76=[B@417ceec},8,26,f5c1515068d578c97fce6d295e4826cbe8cf6fb769df39a98b4189d6
78,1634469759871,-89,1,0,0, null, {},-2147483648,26,7aa9007c0bbc2cd291a71191534fd17cd638c003c4b24f581e55342b
79,1634469759950,-82,1,0,0, null, {224=[B@ff54531},-2147483648,-1,2573220a84d6d397095aa04f80807be1ab255f5911fe2f6821b9d9bc
80,1634469759951,-59,1,0,0, null, {76=[B@72b0f84},12,26,c3797c689a199b3345458be817c9bb55349e84f7338616125280e46f
81,1634469759975,-78,1,0,0, null, {19456=[B@b4f1033},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
82,1634469759981,-53,1,0,0, null, {},-2147483648,-1,c1509f0fb50f79cb1dfb595df15bc5be29850ca0628254596f322eb3
83,1634469759984,-53,1,0,0, null, {76=[B@d22cb1c},12,26,3663e5aff8f1d398dac5a4acaa1d3cd6ace6031df4ea6a0d5d36c02a
84,1634469759998,-45,1,0,0, , {3=[B@a7252ab},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
85,1634469760015,-70,1,0,0, null, {101=[B@c0d2ec6},-2147483648,6,73e43c8aaf8411460681545b12dc0c38f313889ad6024efc354e1c4d
86,1634469760019,-50,1,0,0, null, {76=[B@15da1dd},12,26,30dfced00cdc85a522b0084a04c24662ca3b622ff1091c1673d68ba9
87,1634469760020,-92,1,0,0, null, {},-2147483648,26,5b51c1c13cbb836d4be80e0f6cc7f82022978f01e0077fd7ad2b2060
88,1634469760078,-75,1,0,0, null, {19456=[B@17d509e},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
89,1634469760083,-49,1,0,0, , {3=[B@8f82f95},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
90,1634469760093,-87,1,0,0, null, {},-2147483648,-1,e565afa222b04fb194c59430b1c44bb5965c12ac42bb9e934f707464
91,1634469760109,-87,1,0,0, null, {76=[B@1e4d576},12,26,912f47c41ec390994bc6f6db9d34aa1566f081ea68a39d17eeae6f22
92,1634469760122,-71,1,0,0, null, {101=[B@52fbc4d},-2147483648,6,73e43c8aaf8411460681545b12dc0c38f313889ad6024efc354e1c4d
93,1634469760168,-48,1,0,0, , {3=[B@cc8d049},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
94,1634469760169,-89,1,0,0, null, {117=[B@fb76e6f},-2147483648,-1,09fe0c3d8658ac4bb5e04fd575e8ba909eae5a5c87c3edb11ad0ebea
95,1634469760173,-47,1,0,0, null, {76=[B@501c05a},7,26,8a009e6548a34b7216408545c05ab43ad6e6118577e2a594e2567b5f
96,1634469760178,-94,1,0,0, null, {},-2147483648,26,94ac05976804c174d7cdb78d84e33299c41a55f9f05c05c8bcd01c41
97,1634469760183,-72,1,0,0, null, {19456=[B@3c8bc67},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
98,1634469760211,-86,1,0,0, null, {224=[B@c9800b2},-2147483648,-1,2573220a84d6d397095aa04f80807be1ab255f5911fe2f6821b9d9bc
99,1634469760217,-79,1,0,0, null, {76=[B@5e95db9},12,26,2ec3054b6c61d061207bb23c4f83447e3c64fba990aa116b49062e35
100,1634469760222,-70,1,0,0, null, {101=[B@92c47ac},-2147483648,6,73e43c8aaf8411460681545b12dc0c38f313889ad6024efc354e1c4d
101,1634469771737,-58,1,0,0, , {3=[B@2638d57},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
102,1634469771833,-58,1,0,0, null, {76=[B@6adfa62},12,26,30dfced00cdc85a522b0084a04c24662ca3b622ff1091c1673d68ba9
103,1634469771898,-60,1,0,0, , {3=[B@5c02729},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
104,1634469771902,-68,1,0,0, null, {76=[B@3a6f3dc},12,26,c3797c689a199b3345458be817c9bb55349e84f7338616125280e46f
105,1634469771906,-84,1,0,0, null, {19456=[B@990226b},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
106,1634469771954,-54,1,0,0, null, {76=[B@1721186},7,26,8a009e6548a34b7216408545c05ab43ad6e6118577e2a594e2567b5f
107,1634469771982,-65,1,0,0, , {3=[B@ff6f39d},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
108,1634469772011,-83,1,0,0, null, {19456=[B@f2eb1e0},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
109,1634469772035,-74,1,0,0, null, {101=[B@8086b3f},-2147483648,6,73e43c8aaf8411460681545b12dc0c38f313889ad6024efc354e1c4d
110,1634469772071,-64,1,0,0, , {3=[B@17d3f6a},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
111,1634469772103,-65,1,0,0, null, {76=[B@5e5d5d1},12,26,30dfced00cdc85a522b0084a04c24662ca3b622ff1091c1673d68ba9
112,1634469772113,-82,1,0,0, null, {19456=[B@296d0a4},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
113,1634469772150,-74,1,0,0, , {3=[B@cf21bd3},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
114,1634469772176,-57,1,0,0, null, {76=[B@a7c80e},12,26,c3797c689a199b3345458be817c9bb55349e84f7338616125280e46f
115,1634469772214,-82,1,0,0, null, {19456=[B@364e1c5},-2147483648,4,e0867aa95888ce2d5ac54cdac1a87b796abc37d4cf4172a2181dc304
116,1634469772218,-64,1,0,0, null, {76=[B@557428},12,26,3663e5aff8f1d398dac5a4acaa1d3cd6ace6031df4ea6a0d5d36c02a
117,1634469772227,-51,1,0,0, null, {76=[B@c44a827},7,26,8a009e6548a34b7216408545c05ab43ad6e6118577e2a594e2567b5f
118,1634469772238,-64,1,0,0, , {3=[B@a16af72},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
119,1634469772250,-77,1,0,0, null, {101=[B@c8feb79},-2147483648,6,73e43c8aaf8411460681545b12dc0c38f313889ad6024efc354e1c4d
120,1634469788162,-59,1,0,0, , {3=[B@a91e917},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
121,1634469788166,-64,1,0,0, , {3=[B@795d922},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
122,1634469788204,-48,1,0,0, null, {76=[B@505a4e9},7,26,8a009e6548a34b7216408545c05ab43ad6e6118577e2a594e2567b5f
123,1634469788212,-92,1,0,0, null, {101=[B@ee1dc9c},-2147483648,6,73e43c8aaf8411460681545b12dc0c38f313889ad6024efc354e1c4d
124,1634469788217,-48,1,0,0, null, {76=[B@2e3b22b},12,26,c3797c689a199b3345458be817c9bb55349e84f7338616125280e46f
125,1634469788239,-59,1,0,0, , {3=[B@7d7b446},-2147483648,6,4d29d0cf9b06262acdd1ed5a9806100bd5ad16c0e5f099e207cdd0a3
