,Time,RSSI,Primary,Secondary,AdInterval,DeviceName,ManufacturerData,TxPower,AdvertiseFlag,DeviceId
0,1623670011779,-93,1,0,0, null, {409=[B@3137599},-6,6,25c528a29bacb300e31bd86011d68d37733b4181b8c824ecad3db549
1,1623670011781,-81,1,0,0, null, {},-2147483648,26,3d16af54988faf5d808d782f6e92455972d682253f52cce0c1a58686
2,1623670011842,-85,1,0,0, null, {76=[B@a99a46a},12,26,afeda188f26090ae58166cb3ffd59a802252f4709990fbb1481b6cfd
3,1623670011890,-95,1,0,0, null, {76=[B@2253ed1},-2147483648,26,74d0b3b4bd1d13d36a63e70b598f25a5cf5054fbce9f04cdf071c147
4,1623670011938,-88,1,0,0, null, {409=[B@1880da4},-6,6,511b861f9e1d0a8d70d40e4ec4d3e36c0285bd995209a3f718e24c51
5,1623670011952,-85,1,0,0, null, {},-2147483648,26,6c6960f38cf1148ade73bc24aa4db4f6e43378c3025de60d294febeb
6,1623670012017,-68,1,0,0, null, {76=[B@f0ff709},12,26,9c5fd1ec176178f445a053bf2cf1205f3b860a3f8b83f634d41b51cb
7,1623670012052,-89,1,0,0, null, {},-2147483648,26,96ab40173136a9c97b80dafd797303316d4f1ee84ef5c81262af89d9
8,1623670012101,-89,1,0,0, null, {76=[B@c56734b},12,26,d5e5ebdfa612c9294360df5cc402fc816b0ee2d8a6363f4242a74b10
9,1623670012287,-92,1,0,0, null, {},-2147483648,26,3d16af54988faf5d808d782f6e92455972d682253f52cce0c1a58686
10,1623670012351,-87,1,0,0, null, {76=[B@a8a44bb},7,26,778f92dd4e4b29b114b6bd93ba20dd24dee958308094299d4fdf2a6e
11,1623670012352,-74,1,0,0, null, {76=[B@840c531},24,26,cf101a7c6b7404d6d2063d2bb7b26ea62083b79e3e68991ec4132ed8
12,1623670012356,-81,1,0,0, null, {76=[B@1ab836d},8,26,f5e2ae2b9163c9631688eca40cc9296eda5f9056e47416d62223a904
13,1623670012357,-89,1,0,0, null, {},-2147483648,26,892e8052240496eba44e60dfa2715ec6e2decd793f505e740bce9ef2
14,1623670012363,-77,1,0,0, null, {76=[B@6051ff0},12,26,39b5e6da647754c07c9d9c0801e6ce6e410d1a20ba1889ad3cbc2675
15,1623670012364,-88,1,0,0, null, {},-2147483648,26,7af5ca6383ad796490ab10a16b5580b50263320f80f6c99a1f010614
16,1623670012365,-66,1,0,0, null, {},-2147483648,26,6c6960f38cf1148ade73bc24aa4db4f6e43378c3025de60d294febeb
17,1623670012365,-88,1,0,0, null, {76=[B@7344b1c},-2147483648,26,6cb0699766916d172361796166f0dbb5573ad2707c9973eeac408995
18,1623670012367,-91,1,0,0, null, {},-2147483648,26,7568a679474919568badf2778b9de5826eb62c4e3f0b3c7f949b9af6
19,1623670012367,-91,1,0,0, null, {76=[B@2d1d2ab},-2147483648,26,74d0b3b4bd1d13d36a63e70b598f25a5cf5054fbce9f04cdf071c147
20,1623670012371,-78,1,0,0, null, {409=[B@992aec6},-6,6,99ac9302058a27204f187fbed9e461dfd73bbfb96b44f90638b535dd
21,1623670012379,-94,1,0,0, null, {76=[B@374e1b4},7,26,3cc29cfd1370b48cdf711ab73480d45c312d626482ffc35e49c57be3
22,1623670012385,-78,1,0,0, null, {76=[B@34bec23},12,26,335c72490daa8dc0a0981d1b7341500d913bc13629c56d07d924a0cb
23,1623670012386,-72,1,0,0, null, {76=[B@e32fed9},8,26,f4d9e7b89e6744cab51331bc292135e61c782ed935b1e5d8c729662e
24,1623670012389,-85,1,0,0, null, {},-2147483648,26,96ab40173136a9c97b80dafd797303316d4f1ee84ef5c81262af89d9
25,1623670012390,-88,1,0,0, null, {76=[B@f758aa},12,26,d5e5ebdfa612c9294360df5cc402fc816b0ee2d8a6363f4242a74b10
26,1623670012391,-81,1,0,0, null, {},-2147483648,26,3d16af54988faf5d808d782f6e92455972d682253f52cce0c1a58686
27,1623670012392,-88,1,0,0, null, {76=[B@604b011},24,26,6feae6fca59960ebba49b14be358bca485a5d62c76d406e8246e52b4
28,1623670012485,-94,1,0,0, null, {409=[B@5f5650},-6,6,99ac9302058a27204f187fbed9e461dfd73bbfb96b44f90638b535dd
29,1623670012514,-96,1,0,0, null, {409=[B@2deee6f},-6,6,25c528a29bacb300e31bd86011d68d37733b4181b8c824ecad3db549
30,1623670012533,-95,1,0,0, null, {},-2147483648,26,7af5ca6383ad796490ab10a16b5580b50263320f80f6c99a1f010614
31,1623670012545,-93,1,0,0, null, {},-2147483648,-1,3d481475937eaa4803065152586a0011aad84794d393e280686197d0
32,1623670012557,-97,1,0,0, null, {76=[B@6510826},26,26,364ffe89489c7b072a1c42e2f84858668be8c69b5627d777e6727438
33,1623670024058,-82,1,0,0, null, {},-2147483648,26,6c6960f38cf1148ade73bc24aa4db4f6e43378c3025de60d294febeb
34,1623670024068,-96,1,0,0, null, {76=[B@d857955},-2147483648,26,74d0b3b4bd1d13d36a63e70b598f25a5cf5054fbce9f04cdf071c147
35,1623670024073,-91,1,0,0, null, {},-2147483648,26,892e8052240496eba44e60dfa2715ec6e2decd793f505e740bce9ef2
36,1623670024090,-86,1,0,0, null, {},-2147483648,26,426784217b2b0baa11dcb1889904e70c8d8640a7e2abfeba67269734
37,1623670024160,-91,1,0,0, null, {},-2147483648,26,1937e12be1740c6e591923daac2c4ac4d37578976fa4c2588f98c7c0
38,1623670024171,-94,1,0,0, null, {},-2147483648,26,5bff1150364b3dee1f6f492dfe2dde3a111c3785b3f5859018ee8a8e
39,1623670024241,-62,1,0,0, null, {76=[B@ae7ee09},12,26,9c5fd1ec176178f445a053bf2cf1205f3b860a3f8b83f634d41b51cb
40,1623670024243,-90,1,0,0, null, {76=[B@a33103c},8,26,534fb06583fe46cdf28600cbca81d0d75babcd9fc82b4a7ceefc0632
41,1623670024245,-91,1,0,0, null, {},-2147483648,26,b2d1f0f739ca78685456ad59c78ba73e658d5c3d7f3a7f02616c3d7f
42,1623670024258,-91,1,0,0, null, {76=[B@2225541},-2147483648,26,74d0b3b4bd1d13d36a63e70b598f25a5cf5054fbce9f04cdf071c147
43,1623670024260,-88,1,0,0, null, {},-2147483648,26,af15505be504c348971e5a04a0f1e54dfcdedf224d9c91e7cb15862b
44,1623670024270,-85,1,0,0, null, {},-2147483648,26,6f9cd045ba9adb27a82af74f935514ed3fbc0ed70426af6033dce94b
45,1623670024272,-80,1,0,0, null, {},-2147483648,26,96ab40173136a9c97b80dafd797303316d4f1ee84ef5c81262af89d9
46,1623670024335,-79,1,0,0, null, {},-2147483648,26,6c6960f38cf1148ade73bc24aa4db4f6e43378c3025de60d294febeb
47,1623670024354,-91,1,0,0, null, {409=[B@2a3f51f},-6,6,99ac9302058a27204f187fbed9e461dfd73bbfb96b44f90638b535dd
48,1623670024376,-92,1,0,0, null, {},-2147483648,26,7af5ca6383ad796490ab10a16b5580b50263320f80f6c99a1f010614
49,1623670024446,-85,1,0,0, null, {76=[B@92bb758},-2147483648,26,74d0b3b4bd1d13d36a63e70b598f25a5cf5054fbce9f04cdf071c147
50,1623670024448,-93,1,0,0, null, {6=[B@3896917},-2147483648,-1,0475848297ff34b779a9378b1c2cd644fc0f152f5c12b4eb8d8f2cef
51,1623670024451,-76,1,0,0, null, {76=[B@935922},24,26,6feae6fca59960ebba49b14be358bca485a5d62c76d406e8246e52b4
52,1623670024494,-89,1,0,0, null, {},-2147483648,26,3d16af54988faf5d808d782f6e92455972d682253f52cce0c1a58686
53,1623670024511,-69,1,0,0, null, {76=[B@63a640f},12,26,9c5fd1ec176178f445a053bf2cf1205f3b860a3f8b83f634d41b51cb
54,1623670024514,-92,1,0,0, null, {76=[B@b1aea7a},8,26,534fb06583fe46cdf28600cbca81d0d75babcd9fc82b4a7ceefc0632
55,1623670024518,-92,1,0,0, null, {},-2147483648,26,b2d1f0f739ca78685456ad59c78ba73e658d5c3d7f3a7f02616c3d7f
56,1623670024535,-91,1,0,0, null, {},-2147483648,26,af15505be504c348971e5a04a0f1e54dfcdedf224d9c91e7cb15862b
57,1623670036631,-93,1,0,0, null, {76=[B@9b418b},-2147483648,-1,1f04e6e35cb5b80dc7475867115ded36376def9fc6b31d835bd318f9
58,1623670036666,-72,1,0,0, null, {},-2147483648,26,af15505be504c348971e5a04a0f1e54dfcdedf224d9c91e7cb15862b
59,1623670036679,-74,1,0,0, null, {76=[B@e834d14},8,26,f5e2ae2b9163c9631688eca40cc9296eda5f9056e47416d62223a904
60,1623670036718,-87,1,0,0, null, {},-2147483648,26,6c6960f38cf1148ade73bc24aa4db4f6e43378c3025de60d294febeb
61,1623670036741,-84,1,0,0, null, {},-2147483648,26,96ab40173136a9c97b80dafd797303316d4f1ee84ef5c81262af89d9
62,1623670036787,-93,1,0,0, null, {},-2147483648,26,6f9cd045ba9adb27a82af74f935514ed3fbc0ed70426af6033dce94b
63,1623670036853,-84,1,0,0, null, {76=[B@f11c375},24,26,6feae6fca59960ebba49b14be358bca485a5d62c76d406e8246e52b4
64,1623670036859,-88,1,0,0, null, {76=[B@a3e4598},7,26,8d9f912932990737056ef035bdde1575b83559004ae16f6ab81a8953
