,Time,RSSI,Primary,Secondary,AdInterval,DeviceName,ManufacturerData,TxPower,AdvertiseFlag,DeviceId
0,1624444181396,-88,1,0,0, null, {76=[B@150a18d},12,26,de44bafa17a34d241bb6eee70dc95be9f8bca050666a22eb049dbda3
1,1624444181402,-76,1,0,0, null, {},-2147483648,-1,e4f92535d113d74cf89c787bdd1a4987018428f57585796f9b14ebe2
2,1624444181404,-79,1,0,0, null, {},-2147483648,-1,e4f92535d113d74cf89c787bdd1a4987018428f57585796f9b14ebe2
3,1624444181422,-93,1,0,0, null, {6=[B@ad241bc},-2147483648,-1,84ecd84ccdf34f144960df65546cc72268ead4e13f56496ee618a092
4,1624444181441,-91,1,0,0, null, {6=[B@ebeb1cb},-2147483648,-1,c42ea693bc54fd7dbcb2a84902b202f61a066e409341257e79b94b39
5,1624444181456,-92,1,0,0, null, {},-2147483648,26,84c1707af2cfd5fec49417fb3736500821b307fc55bdb467d3841f4a
6,1624444181464,-91,1,0,0, null, {76=[B@cc70c54},12,26,391ce06463b3f05c50df88d811afda32fdebd08cc7cac4e2c7d24427
7,1624444181476,-89,1,0,0, null, {76=[B@1d18f43},12,26,54c565d6895dc4730dd7408d9a7e94032e0f55af297ea982099a213e
8,1624444181495,-79,1,0,0, null, {76=[B@91aa63e},-2147483648,-1,f18bcac675d7369ac03f47da4e9681de8126b49f3ed1cc4852c0ab48
9,1624444181524,-86,1,0,0, null, {76=[B@53739b5},7,26,3d5ecd7cf8dba420b725c4dda48833016b989d4e6a1751fdbef70942
10,1624444181526,-93,1,0,0, null, {6=[B@2d1e0d8},-2147483648,-1,84ecd84ccdf34f144960df65546cc72268ead4e13f56496ee618a092
11,1624444181550,-92,1,0,0, null, {6=[B@ffec097},-2147483648,-1,c42ea693bc54fd7dbcb2a84902b202f61a066e409341257e79b94b39
12,1624444181557,-63,1,0,0, null, {},-2147483648,26,6c6e6d889556c1548ac4370dc5d4fbd0dabc94fef8fa004f638d93ed
13,1624444181595,-81,1,0,0, null, {76=[B@f7ff2f0},8,26,7c5f88a783f8db408082aabb50e32457131c28799721ae1371f7a822
14,1624444181602,-86,1,0,0, null, {},-2147483648,26,a479acf07301ffb87ac4dc8143dddbe1178d243106181ebb4319b870
15,1624444181622,-86,1,0,0, null, {76=[B@46afa25},26,26,7915490fc5b98bef4db3936fbb78e93a56f2a6d1d51fb42d8d16bdc6
16,1624444181649,-94,1,0,0, null, {},-2147483648,26,c769df9528c54bb51384663b20d28db6dd8c494e67e18ef0d70804fe
17,1624444181656,-95,1,0,0, null, {6=[B@9c799c6},-2147483648,-1,c42ea693bc54fd7dbcb2a84902b202f61a066e409341257e79b94b39
