,Time,Alt,Bearing,Speed,VerticalAccuracy,Accuracy
0,1619173680758,157.53761237218947,0.0,0.57,98.91139,9.0
1,1619173686652,135.39266293353427,185.331,0.023785744,96.45144,6.384
2,1619173692134,137.72815507582592,285.17236,0.34490702,104.872826,7.431
3,1619173697538,134.69766515649815,291.6678,0.61067104,91.989426,5.431
4,1619173702933,123.99822677468242,287.44626,0.6348717,107.821045,4.606
5,1619173708136,130.5058784219174,287.77216,0.7328586,93.1752,4.205
6,1619173713632,128.37123258030311,289.6835,0.6609226,96.07373,4.018
7,1619173719204,130.68773942742288,282.43195,0.6931494,96.00671,3.942
8,1619173724727,129.02591723319364,283.1491,0.7266088,90.94162,4.258
9,1619173730628,117.07613009509964,280.95792,0.6984159,88.657295,4.079
10,1619173735704,137.07806476405827,282.34357,0.5338411,3.0,4.381
11,1619173741207,137.0559562566561,280.5228,0.6993798,3.0,4.484
12,1619173746720,137.28550178712604,275.67252,0.7190467,3.0,4.135
13,1619173752438,137.21306528224358,276.63477,0.6902786,3.0,4.055
14,1619173757719,137.18303346388754,254.55365,0.5266553,3.0,3.696
15,1619173763449,137.12594962334876,225.48291,0.5559889,3.0,3.671
16,1619173768700,137.20014035936177,239.75816,0.48839262,3.0,4.014
17,1619173773698,137.13566590109556,251.9222,0.39117673,3.0,3.733
18,1619173778729,137.22549555774583,249.62051,0.33797848,3.0,3.629
19,1619173784713,137.3982783413698,254.91295,0.2505823,3.0,3.463
20,1619173789701,137.3159811081565,0.0,0.11961756,3.0,4.166
21,1619173795692,137.31895076548827,180.0,0.0013804267,3.0,4.166
22,1619173800720,137.321160747257,272.2659,0.2964559,3.0,4.2
23,1619173806704,137.21019389619096,0.0,0.00022425955,3.0,4.357
24,1619173811721,137.19323652722298,180.0,1.9626452e-06,3.0,4.9
25,1619173817685,137.17997537102832,180.0,0.005923899,3.0,6.071
26,1619173822705,137.27006155051728,0.0,4.421706e-05,3.0,6.7
27,1619173828663,137.2687192647237,180.11823,0.31881055,3.0,6.863
28,1619173833694,137.33557085811617,187.99783,1.1916544,3.0,7.208
29,1619173838702,157.29816521565508,152.18051,0.5505203,99.04466,6.409
30,1619173843715,124.40500577167568,174.499,0.63358575,84.43932,5.846
31,1619173848723,148.64048775503105,161.35175,1.094302,110.163536,5.905
32,1619173854397,135.91911668602842,173.78886,0.9946073,3.0,5.905
33,1619173859378,135.78899969284495,176.60179,0.87384766,3.0,4.916
34,1619173864742,135.75739484657217,179.99261,0.5369595,3.0,4.302
35,1619173870735,135.76401158355534,0.00014210136,0.0007024913,3.0,3.716
36,1619173875735,135.6865259519979,359.99997,3.2463893e-05,3.0,3.855
37,1619173880746,135.63138233193013,0.0,0.09041215,3.0,5.004
38,1619173885755,135.59589641826065,180.0,0.0020923659,3.0,5.4
39,1619173891721,135.5620520277917,0.0,2.8095754e-05,3.0,6.583
40,1619173896729,135.4928700218759,0.0,1.6131406e-07,3.0,6.0
41,1619173902708,135.46316268548193,90.0,0.0,3.0,6.642
42,1619173907759,135.54261986503855,90.0,0.0,3.0,7.5
43,1619173913703,138.25530679458817,90.0,0.0,98.44972,8.642
44,1619173918738,108.46188810824415,90.0,0.0,89.872025,10.5
45,1619173924698,134.3945138340679,178.82062,0.2694457,84.03377,11.785
46,1619173929751,128.98333374886664,180.0,0.011371939,87.67943,8.666
47,1619173935751,139.9892322084122,180.0,0.003147993,102.29634,6.833
48,1619173940751,120.99209178445416,180.0,8.3733314e-05,100.3615,6.3
49,1619173946731,146.34648038271288,180.0,5.4662145e-08,95.27573,6.285
50,1619173951742,141.21962323581445,180.0,1.272956e-07,103.3986,6.0
51,1619173956751,129.87269499474274,90.0,0.0,92.18354,6.0
52,1619173962719,124.52583224733836,90.0,0.0,105.72152,5.583
53,1619173968712,127.01971875918755,90.0,0.0,97.3556,6.0
54,1619173974731,141.42995571082105,90.0,0.0,96.19635,6.0
55,1619173979727,144.4180145009945,90.0,0.0,111.12469,5.583
56,1619173985719,121.95829691555568,90.0,0.0,107.002754,4.428
57,1619173990702,130.2988754368709,180.50342,4.2883017e-05,100.34549,4.56
58,1619173996698,145.5554383525675,244.1831,0.000608863,106.209145,3.894
59,1619174001746,131.79656825773972,260.7182,0.0006838043,108.89438,3.828
60,1619174007735,145.55946537425618,257.0247,0.00010897327,99.27289,3.745
61,1619174013243,164.1797560048451,184.53027,0.9631548,99.241035,4.132
62,1619174018605,120.74713050052289,171.31168,1.0017611,96.03529,5.194
63,1619174023623,145.83022997753358,174.98499,1.090844,88.575386,5.332
64,1619174028987,151.44267417093062,183.53418,1.0383012,96.09364,5.416
65,1619174034652,136.7390076324913,205.1874,0.8784584,94.053856,5.162
66,1619174039720,139.6539500622435,271.2126,0.11760351,119.383194,4.169
67,1619174044747,138.64984588774024,243.31926,0.64586383,3.0,3.466
68,1619174050644,138.604011990817,270.1609,0.002109032,3.0,3.291
69,1619174055681,138.29399850653027,286.27206,0.09485477,3.0,3.099
70,1619174059242,138.32415731401815,310.73306,0.18012208,3.0,3.0
71,1619174059250,138.32415731401815,310.73306,0.18012208,3.0,3.0
72,1619174061194,138.32415731401815,0.65537363,0.4127224,3.0,3.016
73,1619174061294,138.32415731401815,0.65537363,0.4127224,3.0,3.016
74,1619174066252,138.17131629138058,185.2576,0.41980466,3.0,5.075
75,1619174071406,138.12783178070447,177.69975,0.0014719007,3.0,4.707
76,1619174076699,138.18506494576388,179.93727,0.0017717769,3.0,4.125
77,1619174082713,138.13579305289508,0.0,0.009561853,3.0,4.247
78,1619174088716,138.1839552581176,180.0,0.000102623715,3.0,5.0
79,1619174094703,138.10783568386103,0.0,7.1947075e-06,3.0,5.071
80,1619174099699,138.1245355170459,180.0,9.489496e-08,3.0,5.0
81,1619174105678,138.16298173929837,0.0,8.6636226e-10,3.0,5.214
82,1619174110711,138.17775120528702,180.0,1.4900284e-11,3.0,5.1
83,1619174115717,138.1720924642663,6.055776e-12,1.6766762e-13,3.0,4.691
84,1619174121719,138.1791075637157,180.0,2.544791e-15,3.0,3.9
85,1619174126733,138.08608890546057,0.0,0.2844899,3.0,4.054
86,1619174132705,138.15550443195065,180.0,0.003123188,3.0,3.916
87,1619174138727,138.1056573491639,0.0,8.534652e-06,3.0,3.857
88,1619174144712,138.21584126422346,180.0,4.8313307e-08,3.0,3.7
89,1619174150736,138.19622505175278,180.0,2.622831e-10,3.0,3.8
90,1619174158428,138.23741109522834,180.0,1.3257618e-11,3.0,3.428
91,1619176104765,130.4592275648101,0.0,0.22999999,94.98399,8.5
92,1619176110653,137.76472432297936,97.58488,0.7983035,3.0,7.884
93,1619176116301,137.91806319549872,246.92067,0.43238014,3.0,11.347
94,1619176121669,137.84968728481286,176.83571,0.0019377138,3.0,5.201
95,1619176127680,137.71647188540024,179.88728,0.0006483258,3.0,3.36
96,1619176132673,137.696823315279,179.97794,0.0004047836,3.0,3.117
97,1619176137711,137.69958702550522,179.7326,0.0016786777,3.0,3.423
98,1619176142748,137.68972806468588,176.70459,0.13896602,3.0,3.593
99,1619176147750,138.01501731195685,201.70549,0.48342398,3.0,4.311
