,Time,Alt,Bearing,Speed,VerticalAccuracy,Accuracy
0,1624444173917,142.18165432272497,0.0,0.12,101.711555,9.5
1,1624444179899,132.1358295889843,0.0,0.67138594,3.0,8.227
2,1624444184889,131.54015415139196,283.44254,0.4451167,3.0,6.467
3,1624444189975,131.53817944926044,79.79191,0.9724556,3.0,5.689
4,1624444195374,131.7535064300751,59.681976,0.24681619,3.0,4.854
5,1624444200859,131.75766307733312,118.87832,0.66920793,3.0,5.912
6,1624444206026,131.65824175788123,57.992958,0.24929805,3.0,7.61
7,1624444211666,131.62503346956228,38.698135,1.1624298,3.0,6.951
8,1624444216724,131.43884227517714,18.00159,0.96571183,3.0,8.172
9,1624444222177,131.51511274864924,31.704653,0.78821033,3.0,7.51
10,1624444227746,131.60551007555188,33.64486,0.73695207,3.0,6.525
11,1624444232768,131.57634281512009,10.805018,1.114394,3.0,5.97
12,1624444238265,131.62573679120877,37.01744,0.8863903,3.0,6.498
13,1624444243877,131.53121041511926,29.078627,0.6217092,3.0,6.065
14,1624444249316,131.50240792393382,19.271734,1.018014,3.0,5.727
15,1624444254623,131.43095727972585,16.218554,1.044018,3.0,5.268
16,1624444259704,131.44401906544135,340.7365,0.6414185,3.0,5.089
17,1624444264893,131.32857140035108,53.49389,0.2440909,3.0,4.999
18,1624444269968,131.31537351099743,90.00365,0.00451665,3.0,4.673
19,1624444275961,131.3165889111393,83.16003,0.025642127,3.0,4.272
20,1624444280974,131.21490927634733,84.46761,0.0019040271,3.0,4.11
21,1624444286973,131.1649703615413,11.464067,0.6495286,3.0,5.8
22,1624444291972,131.071548187198,180.0,0.01604238,3.0,9.757
23,1624444297964,131.0847364605126,0.0,0.00016404968,3.0,4.7
24,1624444302982,131.23696001828105,0.0,2.9123072e-05,3.0,7.367
25,1624444307985,131.30836214655636,180.0,1.0380351e-06,3.0,4.0
26,1624444313958,131.1528346733295,0.0,1.4550874e-08,3.0,7.477
27,1624444318998,131.19477771142215,90.119064,0.43926713,3.0,4.7
28,1624444324989,131.06071896871208,181.215,0.20593998,3.0,8.452
29,1624444330964,131.09469621430034,180.0,0.01095823,3.0,6.583
30,1624444336952,131.09644439909138,0.0,0.00032633386,3.0,5.916
31,1624444341959,131.0235997109104,180.0,1.7876027e-05,3.0,5.8
32,1624444347950,131.1576817620549,0.0,3.5581226e-07,3.0,5.7
33,1624444353988,131.19940332914925,180.0,5.579788e-09,3.0,9.328
34,1624444358985,131.09904877221214,0.0,9.523649e-11,3.0,5.8
35,1624444364960,131.09167789698063,180.0,7.173567e-13,3.0,9.816
36,1624444369969,131.08497918678455,180.0,5.5083034e-14,3.0,5.1
37,1624444374972,131.02032907486458,180.0,2.1359181000000003e-16,3.0,6.054
38,1624444380959,131.02980355013295,180.0,1.7133001e-15,3.0,5.166
39,1624444385966,131.01552445592367,180.0,1.0877386e-15,3.0,6.911
40,1624444391944,131.06290707790382,180.0,6.0280243e-16,3.0,5.7
41,1624444396964,130.99931495822938,180.0,3.9060927000000003e-16,3.0,6.21
42,1624444401964,130.98976349192674,180.0,2.376251e-16,3.0,5.7
43,1624444407981,131.0071503016891,180.0,1.3890251000000002e-16,3.0,6.419
44,1624444413901,130.86318291417444,5.739655,0.23510581,3.0,4.714
45,1624444418969,131.16056885925067,348.16815,0.92044467,3.0,3.905
46,1624444423990,131.1761510282732,348.43723,1.0290582,3.0,3.307
47,1624444429957,131.17892227165467,347.53546,0.915143,3.0,3.5
48,1624444434972,131.23256361411774,316.96844,0.82975984,3.0,3.607
49,1624444440496,131.4255478333698,307.98145,1.0433623,3.0,6.22
50,1624444445593,131.42758680378364,303.3111,1.0841489,3.0,4.485
51,1624444450765,131.57233815423172,291.26773,0.96186364,3.0,4.374
52,1624444455957,131.54655855654994,284.96182,0.9209406,3.0,4.011
53,1624444461417,131.5254518227584,295.76862,0.8084137,3.0,4.221
54,1624444466746,131.4385528159819,310.08505,0.7438438,3.0,4.357
55,1624444471935,131.62370454854025,315.5583,0.6779039,3.0,4.385
56,1624444477576,131.62977252794298,319.0522,0.6650234,3.0,4.308
57,1624444482743,131.8481472652566,305.06268,0.7128043,3.0,4.667
58,1624444487912,131.96979100716902,304.5434,0.43618566,3.0,5.838
59,1624444492956,132.2729405004649,332.823,0.023015762,3.0,5.11
60,1624444498934,132.27127529136155,359.66833,0.00032219884,3.0,4.819
61,1624444503998,132.2283491406024,329.78497,0.37846002,3.0,4.813
62,1624444509962,132.27342326990083,330.71832,0.03957024,3.0,4.853
63,1624444514982,132.37654820434153,180.0,0.06422046,3.0,4.219
64,1624444520292,132.36307678596685,42.55401,0.773343,3.0,3.969
